C:\LipidView Data\LV Results\200131_XtrIL_AMV_TAG_NL.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Kon A
878.8	271.30	Positive	Confirmed and Common Results	TAG 52:1+NH4	(-FA 16:1 (NH4))	11625	4375	9875	15625	9250
878.8	273.30	Positive	Confirmed and Common Results	TAG 52:1+NH4	(-FA 16:0 (NH4))	45750	45750	88625	109500	29500
878.8	299.30	Positive	Confirmed and Common Results	TAG 52:1+NH4	(-FA 18:1 (NH4))	36625	73625	112625	126875	38750
878.8	301.30	Positive	Confirmed and Common Results	TAG 52:1+NH4	(-FA 18:0 (NH4))	49250	83750	116500	114750	32875
878.8	327.30	Positive	Confirmed and Common Results	TAG 52:1+NH4	(-FA 20:1 (NH4))	9375	6875	12125	15250	0
876.7	245.30	Positive	Confirmed and Common Results	TAG 52:2+NH4	(-FA 14:0 (NH4))	0	0	0	11125	0
876.7	271.30	Positive	Confirmed and Common Results	TAG 52:2+NH4	(-FA 16:1 (NH4))	8250	31375	26750	32625	11000
876.7	273.30	Positive	Confirmed and Common Results	TAG 52:2+NH4	(-FA 16:0 (NH4))	81000	83125	143875	170875	61250
876.7	297.30	Positive	Confirmed and Common Results	TAG 52:2+NH4	(-FA 18:2 (NH4))	11750	18250	19375	18000	20250
876.7	299.30	Positive	Confirmed and Common Results	TAG 52:2+NH4	(-FA 18:1 (NH4))	180000	167375	435625	456000	131625
876.7	301.30	Positive	Confirmed and Common Results	TAG 52:2+NH4	(-FA 18:0 (NH4))	15625	16250	31125	22125	8250
876.7	325.30	Positive	Confirmed and Common Results	TAG 52:2+NH4	(-FA 20:2 (NH4))	0	0	6625	10500	6625
876.7	327.30	Positive	Confirmed and Common Results	TAG 52:2+NH4	(-FA 20:1 (NH4))	18000	11125	12500	18000	7000
874.8	245.30	Positive	Confirmed and Common Results	TAG 52:3+NH4	(-FA 14:0 (NH4))	0	0	5500	7125	0
874.8	271.30	Positive	Confirmed and Common Results	TAG 52:3+NH4	(-FA 16:1 (NH4))	19250	13125	44250	54250	11375
874.8	273.30	Positive	Confirmed and Common Results	TAG 52:3+NH4	(-FA 16:0 (NH4))	15875	21750	34250	44250	22750
874.8	297.30	Positive	Confirmed and Common Results	TAG 52:3+NH4	(-FA 18:2 (NH4))	19875	36000	50250	46375	23125
874.8	299.30	Positive	Confirmed and Common Results	TAG 52:3+NH4	(-FA 18:1 (NH4))	38750	54875	101250	107125	20250
874.8	301.30	Positive	Confirmed and Common Results	TAG 52:3+NH4	(-FA 18:0 (NH4))	4250	3500	0	0	0
874.8	325.30	Positive	Confirmed and Common Results	TAG 52:3+NH4	(-FA 20:2 (NH4))	0	8625	10500	0	0
874.8	327.30	Positive	Confirmed and Common Results	TAG 52:3+NH4	(-FA 20:1 (NH4))	0	0	9625	0	0
872.8	245.30	Positive	Confirmed and Common Results	TAG 52:4+NH4	(-FA 14:0 (NH4))	0	0	0	4750	0
872.8	271.30	Positive	Confirmed and Common Results	TAG 52:4+NH4	(-FA 16:1 (NH4))	9750	5250	11250	6875	5250
872.8	273.30	Positive	Confirmed and Common Results	TAG 52:4+NH4	(-FA 16:0 (NH4))	11125	9625	11750	20250	10750
872.8	295.30	Positive	Confirmed and Common Results	TAG 52:4+NH4	(-FA 18:3 (NH4))	0	0	4000	7625	5000
872.8	297.30	Positive	Confirmed and Common Results	TAG 52:4+NH4	(-FA 18:2 (NH4))	21500	27625	37750	34625	26375
872.8	299.30	Positive	Confirmed and Common Results	TAG 52:4+NH4	(-FA 18:1 (NH4))	10875	8875	10500	15500	7375
872.8	321.30	Positive	Confirmed and Common Results	TAG 52:4+NH4	(-FA 20:4 (NH4))	0	0	0	6875	0
870.7	271.30	Positive	Confirmed and Common Results	TAG 52:5+NH4	(-FA 16:1 (NH4))	0	0	6750	6875	0
870.7	273.30	Positive	Confirmed and Common Results	TAG 52:5+NH4	(-FA 16:0 (NH4))	0	0	6250	0	0
870.7	295.30	Positive	Confirmed and Common Results	TAG 52:5+NH4	(-FA 18:3 (NH4))	9125	0	0	7750	0
870.7	297.30	Positive	Confirmed and Common Results	TAG 52:5+NH4	(-FA 18:2 (NH4))	0	0	5125	0	4250
870.7	299.30	Positive	Confirmed and Common Results	TAG 52:5+NH4	(-FA 18:1 (NH4))	0	0	5750	0	0
870.7	319.30	Positive	Confirmed and Common Results	TAG 52:5+NH4	(-FA 20:5 (NH4))	13375	14375	7125	16625	0
870.7	321.30	Positive	Confirmed and Common Results	TAG 52:5+NH4	(-FA 20:4 (NH4))	0	5000	0	0	0
894.8	245.30	Positive	Confirmed and Common Results	TAG 53:0+NH4	(-FA 14:0 (NH4))	0	0	9000	5625	0
894.8	301.30	Positive	Confirmed and Common Results	TAG 53:0+NH4	(-FA 18:0 (NH4))	7875	7750	4500	14375	0
894.8	315.30	Positive	Confirmed and Common Results	TAG 53:0+NH4	(-FA 19:0 (NH4))	0	9500	0	9250	5250
892.8	273.30	Positive	Confirmed and Common Results	TAG 53:1+NH4	(-FA 16:0 (NH4))	8875	8875	12250	24375	0
892.8	285.30	Positive	Confirmed and Common Results	TAG 53:1+NH4	(-FA 17:1 (NH4))	0	0	0	0	0
892.8	301.30	Positive	Confirmed and Common Results	TAG 53:1+NH4	(-FA 18:0 (NH4))	0	0	13250	19250	0
892.8	315.30	Positive	Confirmed and Common Results	TAG 53:1+NH4	(-FA 19:0 (NH4))	8125	7125	12250	0	0
890.9	271.30	Positive	Confirmed and Common Results	TAG 53:2+NH4	(-FA 16:1 (NH4))	5125	10250	16750	20625	0
890.9	273.30	Positive	Confirmed and Common Results	TAG 53:2+NH4	(-FA 16:0 (NH4))	3250	7250	14125	23375	6750
890.9	285.30	Positive	Confirmed and Common Results	TAG 53:2+NH4	(-FA 17:1 (NH4))	0	0	0	6250	0
890.9	287.30	Positive	Confirmed and Common Results	TAG 53:2+NH4	(-FA 17:0 (NH4))	6375	10000	10750	24250	0
